Site,Subsite,Device,X,Y
VI,10um,H1,0,2560
VI,10um,H2,-160,2720
VI,10um,H3,-320,2720
VI,10um,H4,-480,2720
VI,10um,H5,-640,2720
VI,10um,H6,-800,2720
VI,10um,H7,-960,2720
VI,10um,H8,-1120,2720
VI,10um,H9,-1280,2720
VI,10um,H10,-1440,2720
VI,10um,H11,-1600,2720
VI,10um,H12,-1760,2720
VI,10um,H13,-1920,2720
VI,8um,I1,0,2720
VI,8um,I2,-160,2880
VI,8um,I3,-320,2880
VI,8um,I4,-480,2880
VI,8um,I5,-640,2880
VI,8um,I6,-800,2880
VI,8um,I7,-960,2880
VI,8um,I8,-1120,2880
VI,8um,I9,-1280,2880
VI,8um,I10,-1440,2880
VI,8um,I11,-1600,2880
VI,8um,I12,-1760,2880
VI,8um,I13,-1920,2880
VI,TLM,L800W8,0,0
VI,TLM,L400W8,-420,0
VI,TLM,L800W4,0,180
VI,TLM,L400W4,-420,180
VI,TLM,L800W2,0,360
VI,TLM,L400W2,-420,360
VI,TLM,L200W8,-840,0
VI,TLM,L100W8,-1260,0
VI,TLM,L200W4,-840,180
VI,TLM,L100W4,-1260,180
VI,TLM,L200W2,-840,360
VI,TLM,L100W2,-1260,360
