Site,Subsite,Device,X,Y
VI,FeCap,B10,-1440,160
VI,FeCap,B11,-1600,160
VI,FeCap,B12,-1760,160
VI,FeCap,B13,-1920,160
VI,FeCap,C1,0,320
VI,FeCap,C2,-160,320
VI,FeCap,C3,-320,320
VI,FeCap,C4,-480,320
VI,FeCap,C5,-640,320
VI,FeCap,C6,-800,320
VI,FeCap,C7,-960,320
VI,FeCap,C8,-1120,320
VI,FeCap,C9,-1280,320
VI,FeCap,C10,-1440,320
VI,FeCap,C11,-1600,320
VI,FeCap,C12,-1760,320
VI,FeCap,C13,-1920,320
VI,FeCap,D1,0,480
VI,FeCap,D2,-160,480
VI,FeCap,D3,-320,480
VI,FeCap,D4,-480,480
VI,FeCap,D5,-640,480
VI,FeCap,D6,-800,480
VI,FeCap,D7,-960,480
VI,FeCap,D8,-1120,480
VI,FeCap,D9,-1280,480
VI,FeCap,D10,-1440,480
VI,FeCap,D11,-1600,480
VI,FeCap,D12,-1760,480
VI,FeCap,D13,-1920,480
VI,FeCap,E1,0,640
VI,FeCap,E2,-160,640
VI,FeCap,E3,-320,640
VI,FeCap,E4,-480,640
VI,FeCap,E5,-640,640
VI,FeCap,E6,-800,640
VI,FeCap,E7,-960,640
VI,FeCap,E8,-1120,640
VI,FeCap,E9,-1280,640
VI,FeCap,E10,-1440,640
VI,FeCap,E11,-1600,640
VI,FeCap,E12,-1760,640
VI,FeCap,E13,-1920,640
VI,FeCap,F1,0,800
VI,FeCap,F2,-160,800
VI,FeCap,F3,-320,800
VI,FeCap,F4,-480,800
VI,FeCap,F5,-640,800
VI,FeCap,F6,-800,800
VI,FeCap,F7,-960,800
VI,FeCap,F8,-1120,800
VI,FeCap,F9,-1280,800
VI,FeCap,F10,-1440,800
VI,FeCap,F11,-1600,800
VI,FeCap,F12,-1760,800
VI,FeCap,F13,-1920,800
VI,FeCap,G1,0,960
VI,FeCap,G2,-160,960
VI,FeCap,G3,-320,960
VI,FeCap,G4,-480,960
VI,FeCap,G5,-640,960
VI,FeCap,G6,-800,960
VI,FeCap,G7,-960,960
VI,FeCap,G8,-1120,960
VI,FeCap,G9,-1280,960
VI,FeCap,G10,-1440,960
VI,FeCap,G11,-1600,960
VI,FeCap,G12,-1760,960
VI,FeCap,G13,-1920,960
VI,FeCap,H1,0,1120
VI,FeCap,H2,-160,1120
VI,FeCap,H3,-320,1120
VI,FeCap,H4,-480,1120
VI,FeCap,H5,-640,1120
VI,FeCap,H6,-800,1120
VI,FeCap,H7,-960,1120
VI,FeCap,H8,-1120,1120
VI,FeCap,H9,-1280,1120
VI,FeCap,H10,-1440,1120
VI,FeCap,H11,-1600,1120
VI,FeCap,H12,-1760,1120
VI,FeCap,H13,-1920,1120
VI,FeCap,I1,0,1280
VI,FeCap,I2,-160,1280
VI,FeCap,I3,-320,1280
VI,FeCap,I4,-480,1280
VI,FeCap,I5,-640,1280
VI,FeCap,I6,-800,1280
VI,FeCap,I7,-960,1280
VI,FeCap,I8,-1120,1280
VI,FeCap,I9,-1280,1280
VI,FeCap,I10,-1440,1280
VI,FeCap,I11,-1600,1280
VI,FeCap,I12,-1760,1280
VI,FeCap,I13,-1920,1280 

VII,50um,A1,0,0
VII,50um,A2,-160,0
VII,50um,A3,-320,0
VII,50um,A4,-480,0
VII,50um,A5,-640,0
VII,50um,A6,-800,0
