Site,Subsite,Device,X,Y
,FeCap,C11,1600,-320
,FeCap,C12,1760,-320
,FeCap,C13,1920,-320
,FeCap,D1,0,-480
,FeCap,D2,160,-480
,FeCap,D3,320,-480
,FeCap,D4,480,-480
,FeCap,D5,640,-480
,FeCap,D6,800,-480
,FeCap,D7,960,-480
,FeCap,D8,1120,-480
,FeCap,D9,1280,-480
,FeCap,D10,1440,-480
,FeCap,D11,1600,-480
,FeCap,D12,1760,-480
,FeCap,D13,1920,-480
,FeCap,E1,0,-640
,FeCap,E2,160,-640
,FeCap,E3,320,-640
,FeCap,E4,480,-640
,FeCap,E5,640,-640
,FeCap,E6,800,-640
,FeCap,E7,960,-640
,FeCap,E8,1120,-640
,FeCap,E9,1280,-640
,FeCap,E10,1440,-640
,FeCap,E11,1600,-640
,FeCap,E12,1760,-640
,FeCap,E13,1920,-640
,FeCap,F1,0,-800
,FeCap,F2,160,-800
,FeCap,F3,320,-800
,FeCap,F4,480,-800
,FeCap,F5,640,-800
,FeCap,F6,800,-800
,FeCap,F7,960,-800
,FeCap,F8,1120,-800
,FeCap,F9,1280,-800
,FeCap,F10,1440,-800
,FeCap,F11,1600,-800
,FeCap,F12,1760,-800
,FeCap,F13,1920,-800
,FeCap,G1,0,-960
,FeCap,G2,160,-960
,FeCap,G3,320,-960
,FeCap,G4,480,-960
,FeCap,G5,640,-960
,FeCap,G6,800,-960
,FeCap,G7,960,-960
,FeCap,G8,1120,-960
,FeCap,G9,1280,-960
,FeCap,G10,1440,-960
,FeCap,G11,1600,-960
,FeCap,G12,1760,-960
,FeCap,G13,1920,-960
,FeCap,H1,0,-1120
,FeCap,H2,160,-1120
,FeCap,H3,320,-1120
,FeCap,H4,480,-1120
,FeCap,H5,640,-1120
,FeCap,H6,800,-1120
,FeCap,H7,960,-1120
,FeCap,H8,1120,-1120
,FeCap,H9,1280,-1120
,FeCap,H10,1440,-1120
,FeCap,H11,1600,-1120
,FeCap,H12,1760,-1120
,FeCap,H13,1920,-1120
,FeCap,I1,0,-1280
,FeCap,I2,160,-1280
,FeCap,I3,320,-1280
,FeCap,I4,480,-1280
,FeCap,I5,640,-1280
,FeCap,I6,800,-1280
,FeCap,I7,960,-1280
,FeCap,I8,1120,-1280
,FeCap,I9,1280,-1280
,FeCap,I10,1440,-1280
,FeCap,I11,1600,-1280
,FeCap,I12,1760,-1280
,FeCap,I13,1920,-1280
,FeCap,25um1,2062,131.1
,FeCap,25um2,2062,71.1
,FeCap,25um3,2062,11.1
,FeCap,25um4,2062,-48.9
,FeCap,25um5,2062,-108.9
,FeCap,25um6,2062,-168.9
,FeCap,25um7,2062,-228.9
,FeCap,25um8,2062,-288.9
,FeCap,25um9,2062,-348.9
,FeCap,25um10,2062,-408.9
,FeCap,25um11,2062,-468.9
,FeCap,25um12,2062,-528.9
,FeCap,25um13,2062,-588.9
,FeCap,25um14,2062,-648.9
,FeCap,25um15,2062,-708.9
,FeCap,25um16,2062,-768.9
,FeCap,25um17,2062,-828.9
,FeCap,25um18,2062,-888.9
,FeCap,25um19,2062,-948.9
,FeCap,25um20,2062,-1008.9
,FeCap,25um21,2062,-1068.9
,FeCap,25um22,2062,-1128.9
,FeCap,25um23,2062,-1188.9
,FeCap,25um24,2062,-1248.9
,FeCap,25um25,2062,-1308.9
,FeCap,25um26,2062,-1368.9
,FeCap,25um27,2062,-1428.9
,FeCap,25um28,2062,-1488.9
,FeCap,25um29,2062,-1548.9
,FeCap,25um30,2062,-1608.9
,FeCap,25um31,2062,-1668.9
,FeCap,25um32,2062,-1728.9
,FeCap,25um33,2062,-1788.9
,FeCap,25um34,2062,-1848.9
,FeCap,25um35,2062,-1908.9
,FeCap,25um36,2062,-1968.9
,FeCap,25um37,2062,-2028.9
,FeCap,25um38,2062,-2088.9
